MACR-Nr,Air Force,Flgzg.Typ,Flgzg. Kennnr.,Flugzeugname,Bomber Group,Squadron,Crew,Datum,Absturzursache,Uhrzeit Absturz,Angriffsziel,Letzte Sichtung-Koord,Letzte Sichtung-Ort,Absturzort,Absturzort Anmerkungen im Detail,Absturz Land,Bundesland,Vermisstenfall,Aussage Absturz/Schicksal
3368,15th USAAF,B-24H,41-29282,,455,740,Powers,02.04.1944,Jäger,,Steyr,,Klagenfurt,Koralpe,Koralpe,Österreich,Steiermark,,Maschine wurde im Verband von mehreren deutschen Jägern (Me109 und raketentragenden Me210) angegriffen (2 Angriffe) -  2 davon konnten abgeschossen werden. 2 Triebwerke gerieten in Brand und die Maschine verlor schnell an Höhe. Sie flog in Richtung der Be
3363,15th USAAF,B-24H,42-52224,,455,743,Cheesman,02.04.1944,Jäger,12:00,Steyr,"47°32'N, 14°50'E",Eisenerz,Deutschlandsberg,Sallegg bei Bad Gams,Österreich,Steiermark,,"Die Maschine wurde vor dem Bombenwurf von Jägern so schwer getroffen, dass ein Triebwerk und danach der gesamte rückwärtige Teil der Maschine in Brand geriet. Das Flugzeug flog zunächst stabil weiter und verlor nur langsam an Höhe. Sowie die Maschine aus "
3582,15th USAAF,B-24H,42-52142,,450,720,Fulks,02.04.1944,Jäger,10:50,,,,Eibiswald,Aibl bei Eibiswald,Österreich,Steiermark,,Maschine wurde von Jägern abgeschossen und explodierte vollständig beim Aufschlag.
3694,15th USAAF,B-24J,42-73426,,450,720,Buck,02.04.1944,Flak,,Steyr,"47°40'N, 14°50'E",Palfau,Trieben,St. Lorenzen bei Trieben,Österreich,Steiermark,,Die Maschine wurde von Flakgeschossen getroffen und stürzte ab. Ein Teil der Besatzung konnte abspringen. Ein Flieger (Rammond) schwebte tot zu Boden. Die Ursache ist unbekannt. Der Rest der Besatzung wurde von Zivilisten verhaftet und misshandelt.
3578,15th USAAF,B-24J,42-109848,,98,,Kraus,02.04.1944,Jäger,12:15,,,,Judenburg,Bretstein bei Möderbrugg,Österreich,Steiermark,,Die Maschine wurde von Jägern abgeschossen.
4038,15th USAAF,B-24J,42-64348,,449,719,Heinbuch,12.04.1944,Flak und Jäger,,Wr. Neustadt,"47°27'N, 16°19'E",Pilgersdorf (Oberpullendorf),Rechnitz,Althodis,Österreich,Burgenland,,"Die Maschine wurde Flak getroffen und von Jägern attackiert und begann an den beiden, den Rumpf näheren Triebwerken zu brennen. Die Maschine ging sofort in einen Sturzflug über - die Besatzung konnte sich retten. Die Maschine explodierte noch in der Luft."
4037,15th USAAF,B-24H,42-52256,,454,737,O'Connor,12.04.1944,Jäger,12:20,Bad Vöslau,,Bad Vöslau,Eisenstadt,Stotzing,Österreich,Burgenland,,"Die Maschine fiel nach einer Jägerattacke aus der Formation und prallte beinahe mit einer zweiten getroffenen Maschine zusammen. Während das andere Flugzeug wieder in die Formation zurückkehrte, stürzte diese Maschine jedoch zu Boden. Die Maschine war von"
3910,15th USAAF,B-24H,42-5292,-,456,745,Meyer,12.04.1944,Jäger,,Bad Vöslau,,Bad Vöslau,Semmering,Steinhaus am Semmering - Fröschnitz,Österreich,Niederösterreich,,Der Verband wurde nach dem Bombenwurf von 20 deutschen Jägern angegriffen. Diese Maschine wurde von einer ganzen Serie von Raketen getroffen. Das Triebwerk begann zu brennen und die ganze Tragfläche brach ab. Die Maschine sackte sofort nach links unten we
3920,15th USAAF,B-24H,42-52217,Baby Dumbling,456,745,Richards,12.04.1944,Jäger,,Bad Vöslau,,Bad Vöslau,Bad Vöslau,Bad Vöslau,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern angegriffen, die sein 4. Triebwerk in Brand schossen. Die Maschine schwenkte aus der Formation, verfolgt von 4 Me-110, die über die gesamte Dauer auf das Flugzeug schossen. Zunächst geriet auch das 3. Triebwerk und dann die g"
3955,15th USAAF,B-17G,42-38210,,99,346,Hrostowsky,12.04.1944,Flak,12:32,Fischamend,"48°05'N, 16°32'E",Schwechat,Zwölfaxing,Zwölfaxing,Österreich,Niederösterreich,,Die Maschine wurde von Flakgeschossen (2 Raketen? - S. 69) schwer getroffen und ging zwischen Nase und Flugzeugmitte in Flammen auf. Das Flugzeug kippte sofort zur Seite und ging in einen unkontrollierten Sturzflug über. Der Pilot konnte die Maschine für 
4034,15th USAAF,B-24,41-29243,,449,716,Beam,12.04.1944,Jäger,12:30,Wr. Neustadt,,,Hochneukirchen,Stuben bei Hochneukirchen,Österreich,Niederösterreich,,"Maschine wurde von Jägern attackiert, legte sich auf den Rücken und ging brennend in den Sturzflug über."
4041,15th USAAF,P-47D,42-75959,,325th Fighter,318th Fighter,Parker,12.04.1944,Jäger,,Wr. Neustadt,"47°42'N, 13°35'N",Bad Ischl,Wr. Neustadt,Wr. Neustadt,Österreich,Niederösterreich,,Die Maschine geriet in einen Luftkamf mit deutschen ME109 und wurde dabei abgeschossen
4085,15th USAAF,B-24H,41-28635,,456,745,Walker,12.04.1944,Jäger,,Bad Vöslau,,Bad Vöslau,Bad Vöslau,Bad Vöslau,Österreich,Niederösterreich,,"Die Maschine wurde von rund 20 Jägern attackiert und schwer getroffen. Sie ging sofort in einen langsamen Sturzflug über, brannte im Inneren und riss 6 Besatzungsmitglieder in den Tod."
3980,15th USAAF,B-24J,42-99802,,454,736,Ward,12.04.1944,Jäger,,Bad Vöslau,"47°55'N, 16°10'E",Neunkirchen,Wr. Neustadt,Muthmannsdorf,Österreich,Niederösterreich,,Die Maschine hatte schon beim Zielanlauf Schwierigkeiten und fiel hinter die Formation zurück. Über dem Ziel warteten dann 5 deutsche Jäger und attackierten die Maschine sofort. Das 3. Triebwerk begann zu rauchen und die Maschine ging auf Tiefe. Andere Be
3963,15th USAAF,P-38,42-13318,,5th Photo,15th Combat Map,Gravitt,12.04.1944,Unbekannt,,Ostösterreich,,Bari (I),Aspang,Mariensee am Neuwalde,Österreich,Niederösterreich,,Die Maschine verschwand während einer Aufklärungsmission
13931,8th USAAF,P-51,44-72987,,355th Fighter,357th Fighter,Long,16.04.1944,Flak,,,,Eferding,Linz,Linz,Österreich,Oberösterreich,,Das Flugzeug befand sich auf einer Strafing Mission in Süd-Deutschland. Bei einem Angriff auf den Flugplatz Eferding wurde die Kühlung beschädigt. Er wollte zu den sowjetischen Linien fliegen.
4206,15th USAAF,B-24H,42-75551,,459,759,Schultz,23.04.1944,Jäger,,Bad Vöslau,"47°50'N, 16°20'E",Wr. Neustadt,Neusiedlersee,Podersdorf am See,Österreich,Burgenland,,"Die Maschine fiel kurz nach dem Bombenwurf aus der Formation und wurde von Jägern angeschossen. Nach den ersten Treffern rollte das Flugzeug auf den Rücken. Die Besatzung stieg aus und landete im Neusiedlersee. 
Ein Besatzungsmitglied (Desiderio) könnte "
4199,15th USAAF,B-24,42-52165,,449,716,Roberts,23.04.1944,Flak,,Schwechat,,Schwechat,Fischamend,Fischamend,Österreich,Niederösterreich,,Die Maschine wurde von einer Groß-Flakbatterie bei Fischamend abgeschossen (Triebwerk in Brand geschossen). Die Deutschen fanden im Flugzeugwrack 3 Leichen. Die Überlebenden wurden vom Flak-Regiment 102 Himberg gefangen genommen und an den Flugplatz Parnd
4203,15th USAAF,B-24H,41-28561,,456,747,Haviland,23.04.1944,Flak und Jäger,15:00,Bad Vöslau,"47°40'N, 17°00'E",Neusiedlersee,Wr. Neustadt,Breitenau,Österreich,Niederösterreich,,"Die Maschine wurde von deutschen Jägern attackiert, die das 3. Triebwerk in Brand schossen. Die Maschine sackte langsam aus der Formation ab. Der Treffer beschädigte die gesamte rechte Seite des Flugzeuges und verwundete ein Besatzungsmitglied schwer (Sty"
4393,15th USAAF,B-17F,42-5943,,97,414,Lewis,23.04.1944,Flak und Jäger,,Wr. Neustadt,"47°49'N, 16°16'E",Wr. Neustadt,Neunkirchen,Sieding,Österreich,Niederösterreich,,"Die Maschine wurde von Geschossen direkt im Flugzeug-Hinterteil so schwer getroffen, dass ein Großteil der Besatzung dabei ums Leben kam bzw. verwundet wurde. Die Maschine stürzte sofort brennend ab."
4657,15th USAAF,B-24G,42-78212,,461,764,Wallace,10.05.1944,Jäger,,Wr. Neustadt,"47°40'N, 16°50'E",Neusiedlersee,Apetlon,Apetlon,Österreich,Burgenland,Vermisste/r,Maschine wurden von 6 Me109 angegriffen. Sie sackte sofort aus der Formation ab. Die Bombentore öffenten sich und ein Teil der Besatzung sprang ab.
4729,15th USAAF,B-17G,42-106988,,99,348,Waltermire,10.05.1944,Jäger,,Wr. Neustadt,"47°05'N, 16°00'E",nordwestlich Fürstenfeld,Markt Allhau,Oberwart,Österreich,Burgenland,,Die Maschine hatte über Wr. Neustadt zunächst technische Probleme und sackte deshalb aus der Formation ab. Mit genügendem Abständ stürzten sich deutsche Jäger auf das Flugzeug. Eine Tragfläche begann zu brennen und die Besatzung stieg mittels Fallschirm a
4711,15th USAAF,B-24H,41-29513,Essman,484,827,Essman,10.05.1944,Flak,,Wr. Neustadt,,Wr. Neustadt,Rust am See,Rust am See,Österreich,Burgenland,,"Die Maschine wurde vor dem Bombenwurf von Flakgeschossen getroffen und ging nach einem kurzen Horizontalflug in einen spiralförmigen Sturzflug über und schlug am Boden auf.
Nach dem Absturz warf das Geschwader die Bomben auf das Ziel."
4722,15th USAAF,B-17G,42-97655,,97,414,Smart,10.05.1944,Flak,10:00,Wr. Neustadt,"47°50'N, 16°16'N",Wr. Neustadt,Eisenstadt,Steinbrunn,Österreich,Burgenland,,"Flugzeug erhielt vor dem Bombenwurf einen Direkt-Treffer in die Flugzeugnase. Die Granate explodierte im Inneren, zetrümmerte die gesamte Nase und trennte diese vom Rumpf ab. Das Flugzeug ging sofort auf Tiefe. Beim Treffer wurden die beiden Piloten aus d"
4723,15th USAAF,B-17G,42-31685,,463,775,Gowen,10.05.1944,Flak,,Wr. Neustadt,"47°45'N, 16°00'E",Neunkirchen,Wr. Neustadt,Lichtenwörth,Österreich,Burgenland,,"Das 1. Triebwerk wurde von Flakgeschossen getroffen und zerfiel. Der Pilot gab ab diesem Moment das Zeichen ""Bail out"". Es kam zu weiteren Treffern, die das Flugzeug schließlich zum Absturz brachten."
4745,15th USAAF,B-24H,42-52189,,456,746,Bowering,10.05.1944,Flak,11:25,Wr. Neustadt,,Wr. Neustadt,Rechnitz,Rechnitz,Österreich,Burgenland,,"Die Maschine begann über dem Ziel nach einem Flaktreffer zu rauchen. Sie sackte aus der Formation ab, blieb aber stabil. Der Pilot versuchte sich in die Formation zurück zu kämpfen. Es gelang aber nicht mehr. Die ganze Besatzung sprang ab."
4838,15th USAAF,B-24H,41-52501,,451,727,Whitfill,10.05.1944,Jäger,,Wr. Neustadt,,St. Margarethen,Neusiedlersee,Neusiedlersee,Österreich,Burgenland,,Die Maschine wurde über dem Ziel von einem Jäger angeschossen. Gänzlich unter Kontrolle verlor die Maschine dennoch stetig an Höhe und fiel hinter die Formation zurück. Die Besatzung musste abspringen.
5069,15th USAAF,B-17G,42-31818,-,463,774,Nagle,10.05.1944,Jäger,11:15,Wiener Neustadt,"47°45'N, 15°57°E",Puchberg am Schneeberg,Puchberg am Schneeberg,Gahns,Österreich,Niederösterreich,,Die Maschine wurde über dem Ziel von Jägern getroffen und scherte aus dem Verband aus. Die anderen Besatzung sahen sie brennend zu Boden gehen.
5469,15th USAAF,B-24H,41-28894,-,456,747,Clark,10.05.1944,Flak,,Wiener Neustadt,,Wr. Neustadt,Wiener Neustadt,Matzendorf,Österreich,Niederösterreich,,"Die Maschine wurde beim Bombenwurf von Flakgeschossen getroffen, die das 2. Triebwerk in Brand schossen und ein Feuer im Bombenschacht auslösten. Letzteres griff im Inneren des Flugzeugs sofort um sich."
4658,15th USAAF,B-24H,42-52468,,464,777,Latimer,10.05.1944,Flak,12:15,Wr. Neustadt,,Wr. Neustadt,Neunkirchen,Peisching-Breitenau,Österreich,Niederösterreich,,"Die Maschine wurde von Flakgeschossen getroffen. Das 2. Triebwerk ging dabei in Flammen auf und die Maschine sackte aus der Formation ab. Sofort waren die ersten Fallschirme sichtbar. Die Maschine ging sodann in Flammen gehüllt zu Boden, brach noch in der"
4659,15th USAAF,B-24H,42-52433,,460,760,Gifford,10.05.1944,Flak,,Wr. Neustadt,,Wr. Neustadt,Wr. Neustadt,Zillingdorf,Österreich,Niederösterreich,,"Während des Angriffs wurden mehrere Flugzeuge von Flakgeschossen getroffen. Giffords Maschine schwenkte aus der Formation aus, mit einem offenen Bombenschacht aus dem Flammen schlugen. Die Maschine stürzte unmittelbar ab."
4660,15th USAAF,B-17G,42-31804,,463,775,Dwyer,10.05.1944,Flak,,Wr. Neustadt,"47°45'N, 16°00'E",Neunkirchen,Neunkirchen,Vöstenhof bei Ternitz,Österreich,Niederösterreich,Vermisste/r,"Der Tank der Maschine wurde vermutlich von einer Rakete getroffen und es bildeten sich sofort Flammen. Das Flugzeug sackte aus der Formation ab und stürzte mit brennenden Tragflächen zu Boden. Ein Teil der Besatzung konnte sich retten, jedoch brannten die"
4746,15th USAAF,B-24H,41-29531,,484,827,Howes,10.05.1944,Flak,12:30,Wr. Neustadt,,Wr. Neustadt,Wr. Neustadt,Großmittel,Österreich,Niederösterreich,,"Die Maschine erhielt einen Flaktreffen in den geschlossenen Bombenschacht. Sofort kam es zu einer Rauchentwicklung aus dem Inneren. Das Flugzeug hielt sich 3 bis 5min in der Formation, als eine Explosion die Bombenschachttore aufriss. Zwei Besatzungsmitgl"
4747,15th USAAF,B-17G,42-97551,,463,772,Kort,10.05.1944,Flak,11:20,Wr. Neustadt,"48°00'N, 27°16'E",Ungarn,Neunkirchen,Otterthal,Österreich,Niederösterreich,,"Die Maschine wurde an einem Triebwerk von Flakgeschossen getroffen. Trotzdem das Triebwerk in Flammen aufging, blieb die Maschine in der Formation und warf seine Bomben. Erst dann sackte die Maschine aus dem Verband ab - das Feuer hatte mittlerweile auf d"
4846,15th USAAF,B-17F,42-29856,,483,815,Scranton,10.05.1944,Flak,,Wr. Neustadt,"46°20'N, 16°00'E",Jugoslawien,Wiener Neustadt,Frohsdorf,Österreich,Niederösterreich,,"Die Maschine wurde kurz nach dem Bombenwurf von Flakgeschossen an der Tragfläche getroffen. Ein Treibstofftank lief dabei aus und setzte die gesamte Tragfläche in Brand. Die Maschine ging in den Sturzflug über, wobei ein Mann aus der Maschine fiel. Später"
4804,15th USAAF,B-24H,42-64441,,464,778,Wygal,10.05.1944,Flak,,Wr. Neustadt,,Wr. Neustadt,Neunkirchen,Mollram,Österreich,Niederösterreich,,"Die Maschine erhielt einen Flak-Volltreffer an der Tragfläche. Das Triebwerk begann sofort zu brennen und die Maschine kippte auf die Seite. Teile der Besatzung konnten sich retten, bevor die Maschine in der Luft explodierte."
4889,15th USAAF,B-24,41-28855,,460,762,Reynolds,10.05.1944,Flak,,,,,Wr. Neustadt,Wr. Neustadt,Österreich,Niederösterreich,,"Die Maschine wurde schwer getroffen und geriet in Brand. Während des Absturzes, bei dem eine Tragfläche abbrach versuchte sich die Besatzung noch aus der Maschine zu retten. Nur wenigen gelang dies bevor die Maschine explodierte.
Besonders tragisch war, "
5465,15th USAAF,B-24,42-52362,,460,,Jameson,10.05.1944,Flak,,,,,Wr. Neustadt,Zillingdorf,Österreich,Niederösterreich,,"Die Maschine erhielt einen Direkttreffer in das 3. Triebwerk, das sofort zu brennen begann. Es ereigneten sich zahlreiche kleinere Explosionen rund um dieses Triebwerk, die letztlich die Tragfläche wegsprengten. Das Flugzeug fiel sofort zu Boden."
205003,RAF,Mosquito,LR421,,106 RAF,540,Irwin,10.05.1944,Jäger,11:30,Wien,,,Wiener Neustadt,Aspangberg,Österreich,Niederösterreich,,"Die Mosquito wurde von einem deutschen Jäger (Mjr Horst Carganico, JG5) abgeschossen."
4845,15th USAAF,B-24H,42-52287,,456,747,Jennings,10.05.1944,Flak,12:05,Wr. Neustadt,,Wr. Neustadt,Rettenegg,Frauenwald-Rettenegg,Österreich,Steiermark,,Die Maschine wurde an 2 Triebwerken von Flakgeschossen getroffen und ging sofort in einen steilen Sturzflug über.
5041,15th USAAF,B-24H,42-52405,-,461,766,Bigelow,24.05.1944,Flak,11:15,Wiener Neustadt,,Wiener Neustadt,Sigleß,Sigleß,Österreich,Burgenland,,"Die Maschine wurde am 3. und 4. Triebwerk von Flakgeschossen getroffen. Ein Triebwerk konnte gelöscht werden, jedoch fing durch das andere die Tragfläche Feuer. Der Pilot konnte die Maschine 3 Minuten stabil halten und so 2 Besatzungsmitgliedern den Ausst"
5045,15th USAAF,B-24H,42-52190,-,455,740,Jones,24.05.1944,Flak,11:00,Wien - Münchendorf,"47°50'N, 16°30'E",Eisenstadt,Prodersdorf an der Leitha,Prodersdorf an der Leitha,Österreich,Burgenland,,"Die Maschine wurde von Flakgeschossen getroffen und ging langsam auf Tiefe. Die ersten Fallschirme öffneten sich sehr bald. Die Maschine ging danach in einen spiralförmgen Sturzflug über, mit 3 Crewmitgliedern im Inneren. Das Flugzeug schlug am Boden auf "
5370,15th USAAF,B-24H,42-52243,-,449,716,Foote,24.05.1944,Flak,11:15,Wiener Neustadt,,Wiener Neustadt,Mattersburg,Eichbüchel-Wiesen,Österreich,Burgenland,,Die Maschine wurde von Flakgeschossen getroffen. Dabei ging das 4. Triebwerk in Flammen auf - die bald auf die ganze Tragfläche übergriffen. Die Maschine glitt langsam aus der Formation in die Tiefe.
5185,15th USAAF,P-51,42-106582,,31st Fighter,308th Fighter,Knapp,24.05.1944,Unbekannt,,Münchendorf,,Graz nordwestlich,Mariazell,Annaberg,Österreich,Niederösterreich,,Bei Bombereskorte hinter seinem Flügelmann plötzlich verschwunden.
5184,15th USAAF,P-38,43-28261,-,14th Fighter,49th Fighter,Teige,24.05.1944,Unbekannt,,Wiener Neustadt,"47°25'N, 16°05'E",Friedberg Nähe,Plambach-Grünau,Plambach-Grünau,Österreich,Niederösterreich,,Die Maschine befand sich auf einer Bomberbegleitmission und verließ den Verband auf der Jagd nach einer Me109. Er wurde nicht mehr wiedergesehen.
5414,15th USAAF,B-24D,42-41011,-,98,345,Shaugnessy,24.05.1944,Flak,10:30,Wr. Neustadt,,Wr. Neustadt,Wiesmath,Wiesmath,Österreich,Niederösterreich,,"Das Flugzeug wurde von Flakgeschossen am 4.Triebwerk getroffen und scherte mit einer Rauchfahne aus  der Formation aus. Die ersten Crewmitglieder sprangen ab. Kurz darauf ging das Triebwerk in Flamme auf und die Maschine ging in einen ""Spin"" über. Nun spr"
5433,15th USAAF,B-24H,42-52163,-,450,723,Griffin,24.05.1944,Jäger,,Wiener Neustadt,"47°45'N, 15°15'E",Mariazell,Lahnsattel,Kernhof-Lahnsattel,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern angegriffen, scherte sofort aus der Formation aus und ging in spiralförmigen Sturzflug über. Etwas später explodierte die Maschine in der Luft"
5457,15th USAAF,B-24H,41-28975,-,450,720,Layton,24.05.1944,Jäger,,Wiener Neustadt,"47°50'N, 16°10'E",Wr. Neustadt,Hainfeld,St. Veit an der Gölsen,Österreich,Niederösterreich,Vermisste/r,Die Maschine wurde von Jägern attackiert und am 4. Triebwerk sowie der Flugzeugnase getroffen. Das gesamte Flugzeug fing Feuer und eine Tragfläche brach ab. Die Maschine ging sofort in den spiralförmigen Sturzflug über.
5467,15th USAAF,B-24H,42-94960,-,450,722,Chrestia,24.05.1944,Jäger,10:30,Wiener Neustadt,"47°50'N, 16°13'E",Wr. Neustadt,Türnitz,Rainbodenalm,Österreich,Niederösterreich,,"Jäger griffen die Maschine an und trafen sie so schwer, dass sie in einen spiralförmigen Sturzflug überging. 4 Fallschirme lösten sich bevor die Maschine am Boden aufschlug."
5186,15th USAAF,P-38,42-67446,,14th Fighter,49th Fighter,Penning,24.05.1944,Unbekannt,,Wr. Neustadt,,Friedberg,Baden,Heiligenkreuz,Österreich,Niederösterreich,,"Der Pilot ging in einen Sturzflug um 5 ME 110 abzufangen. Als der Verband sich nach dem Kampfeinsatz sammelte, war die Maschine nicht mehr darunter."
5056,15th USAAF,B-24H,42-78267,,461,767,Diggs,24.05.1944,Flak,,Wr. Neustadt,,Altenmarkt,Stainz,Grafendorf bei Stainz,Österreich,Steiermark,,"Von Flak getroffen, begann ein Triebwerk zu brennen. Die Maschine wurde langsamer und verlor an Höhe und stürzte nahe Stainz ab."
5190,15th USAAF,B-24H,42-52215,,450,723,Baker,24.05.1944,Jäger,,Wr. Neustadt,"47°45'N, 15°13'E",westlich Mariazell,Veitsch,Kaiblinggraben,Österreich,Steiermark,,Die Maschine wurde im Verband von deutschen Jägern angegriffen. 2 Triebwerke gerieten in Brand und die Maschine stürzte ab.
5647,15th USAAF,B-24H,42-52143,-,450,723,Wells,24.05.1944,Jäger,,Wiener Neustadt,"47°40'N, 15°15'E",Ötscher,Veitsch,Kaiblinggraben,Österreich,Steiermark,,Die Maschine wurde von Jägern angegriffen und der hintere Teil in Brand geschossen. Innerhalb kürzester Zeit griffen diese Flammen auf das gesamte Flugzeug über. Beide Tragflächen und der hintere Teil brachen ab. Das Flugzeug viel in Einzelteilen vom Himm
5648,15th USAAF,B-24G,42-78226,,450,720,Guldberg,24.05.1944,Jäger,10:30,Wr. Neustadt,"47°50'N, 16°10'E",Wr. Neustadt,Mürzsteg,Lanau,Österreich,Steiermark,,Der Verband wurde über dem Ziel von deutschen Jägern angegriffen. Das Flugzeug wurde angeschossen und geriet sofort in Brand. Ein Großteil der Besatzung stieg mittels Fallschirm aus. Kurz darauf explodierte die Maschine in der Luft.
5070,15th USAAF,B-17F,42-30169,,97,341,Close,24.05.1944,Jäger,,Wien-Atzgersdorf,"45°20'N, 16°13'E",Jugoslawien,St. Stefan im Rosental,Frauenbach bei St. Stefan im Rosental,Österreich,Steiermark,Vermisste/r,"Die Maschine wurde angeschossen und verlor an Höhe. Die Besatzung tat alles um sich gegen den Abschuss zu wehren. Es wurden alle Gegenstände über Bord geworfen, die lose waren und die Heckschützen schossen eine ME109 ab. Dennoch war die Maschine nicht meh"
5194,15th USAAF,B-24H,42-64467,,376,515,Matthews,24.05.1944,Flak,,Wr. Neustadt,"47°02'N, 15°25'E",Graz,Wildon,Prending bei Allerheiligen,Österreich,Steiermark,,Die Maschine wurde von Flakgeschossen getroffen und stürzte ab.
5440,15th USAAF,B-24H,41-28756,,450,721,Gallagher,24.05.1944,Jäger,,Wr. Neustadt,"47°40'N, 16°50'E",Neusiedlersee,Mariazell,Gußwerk,Österreich,Steiermark,,"Die Maschine wurde von Jägern attackiert, die eine gesamte Tragfläche in Brand schossen. Die Tragfläche wurde abgesprengt und die Maschine ging sofort in den sturzflug über. Die Besatzung konnte sich retten."
5189,15th USAAF,B-24N,42-95336,-,464,779,Jones,29.05.1944,Flak,10:00,Wien-Atzgersdorf,,Wien-Atzgersdorf,Eisenstadt,Schattendorf,Österreich,Burgenland,,"Südlich des Zielgebiets wurde dem Flugzeug das Ruder durch einen Flaktreffer abgetrennt. Die Maschine ging in einen langsamen spiralförmigen Sturzflug über, wobei das 3. Triebwerk zu rauchen begann. Die Maschine schlug am Boden auf und explodierte. Die ge"
5458,15th USAAF,B-24H,42-52396,,449,717,Henggeler,29.05.1944,Jäger,,Wr. Neustadt,"47°55'N, 16°06'E",südwestlich Baden,Furth an der Triesting,Furth an der Triesting,Österreich,Niederösterreich,,Maschine wurde in der Formation direkt von mehreren Jägern angegriffen. Nach dem Angriff sackte die Maschine weg und die ersten Fallschirme öffneten sich.
5461,15th USAAF,B-24H,42-52117,-,449,719,Fergus,29.05.1944,Jäger,,Wiener Neustadt,"48°11'N, 15°05'E",Ypps/Donau,Frankenfels,Schwarzenbach an der Pielach,Österreich,Niederösterreich,,"Maschine hatte technische Probleme und fiel hinter die Formation zurück, wo sie von Jägern angegriffen und abgeschossen wurde."
5838,15th USAAF,B-24H,42-52676,-,485,831,Proudlove,29.05.1944,Flak,11:10,Atzgersdorf,,nördlich Langeck,Mönichkirchen,Ausschlag,Österreich,Niederösterreich,,"Die Maschine wurde von Flak getroffen und scherte über links aus dem Verband aus. Aus dem Bombenschacht schlug Feuer nach außen und die Maschine ging langsam zu Boden, sodass die gesamte Besatzung per Fallschirm aussteigen konnte."
5188,15th USAAF,B-24H,42-52589,Moby Dick,465,783,Vorhies,29.05.1944,Flak,11:00,Wien-Liesing,,Wien-Liesing,Münchendorf,Münchendorf,Österreich,Niederösterreich,,"Die Maschine wurde über dem Ziel kurz nach dem Bombenwurf getroffen - 1 Triebwerk ging in Flammen auf. Ein Fallschirm löste sich sofort aus der Maschine, die nun große Mengen Treibstoff verlor. Die Maschine flog noch in der Formation weiter, bis sie aus d"
5374,15th USAAF,B-24H,42-95338,-,376,515,Whaley,29.05.1944,Flak,10:30,Wiener Neustadt,"47°50'N, 16°14'E",Wr. Neustadt,Wiener Neustadt,Wiener Neustadt,Österreich,Niederösterreich,Vermisste/r,"Die Maschine wurde von Flakgeschossen getroffen und ging sofort in einen spiralförmigen Sturzflug über. Es wurden 5 bis 7 Fallschirme gesehen, wobei etliche sich nicht geöffnet haben dürften. Es gab nur 4 Überlebende."
5407,15th USAAF,P-51,43-6764,-,52nd Fighter,4th Fighter,Gross,29.05.1944,Jäger,,Wiener Neustadt,,Kirchberg,Kirchberg am Wechsel,Kirchberg am Wechsel,Österreich,Niederösterreich,,Der Pilot griff eine deutsche Me-110 an und wurde dabei vom Brodschützen des deutschen Flugzeugs getroffen. Der Pilot musste abdrehen und sich per Fallschirm aus der Maschine retten. Er landete sicher am Boden und wurde gefangen genommen.
5410,15th USAAF,P-51,42-103424,-,31st Fighter,309th Fighter,Mansberger,29.05.1944,Jäger,,Wr. Neustadt,,Wr. Neustadt,Raisenmarkt,Schwarzensee,Österreich,Niederösterreich,,Der Pilot war in einen Luftkampf mit deutschen ME-110 verwickelt und dürfte dabei angeschossen worden sein. Sein letzter Funkspruch war sehr schwach und konnte nicht mehr wahrgenommen werden.
5666,15th USAAF,B-24H,41-28780,,484,824,Hendrix,29.05.1944,Flak,10:30,Wr. Neustadt,,Wr. Neustadt,Wiener Neustadt,Seebenstein,Österreich,Niederösterreich,Vermisste/r,"Die Maschine wurde von Flakgeschossen in einen Motor und die Flugzeugnase getroffen und ging in Flammen auf. Die gesamte Besatzung konnten sich aus der Maschine retten. Das erste Besatzungsmitglied, dass aus der Maschine sprang dürfte jedoch von einem Pro"
5645,15th USAAF,P-51,42-106538,,31st Fighter,307th Fighter,Howell,29.05.1944,Jäger,,Wöllersdorf,,Wöllersdorf,Raisenmarkt,Schwarzsee,Österreich,Niederösterreich,,Die Maschine wurde beim Bombenangriff auf Wöllersdorf von deutschen ME109 attackiert und stürzte ab.
5437,15th USAAF,B-17G,42-31857,,97,340,Rosenberg,29.05.1944,Flak,,Wöllersdorf,"47°50'N, 16°14'E",Neusiedlersee,Krumbach,Ransdorf,Österreich,Niederösterreich,,"Die Maschine wurde über dem Ziel von Flakgeschossen am Flügel getroffen. Das Feuer begann an der Tragflächenspitze und arbeitete sich zum 1. Triebwerk und dann zum Tank vor. Ein Teil der Besatzung konnte noch abspringen, bevor die Maschine im Sturzflug ex"
5439,15th USAAF,B-24D,42-41176,,376,513,Carmel,29.05.1944,Jäger,,Wr. Neustadt,"48°02'N, 15°59'E",Triestingtal,St. Leonhard am Forst,Seimetzbach,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern attackiert und am Cockpit getroffen. Das Flugzeug sackte sofort nach unten, ging in den Sturzflug über und schlug schließlich am Boden auf."
